education_required,education_rank,avg_exposure,total_employment_affected
"No formal educational credential",1,0.1187,11421600
"High school diploma or equivalent",2,0.2586,22751500
"Some college, no degree",3,0.2563,3093200
"Postsecondary nondegree award",4,0.1788,7474400
"Associate's degree",5,0.3162,2155000
"Bachelor's degree",6,0.4689,24882800
"Master's degree",7,0.4634,2627700
"Doctoral or professional degree",8,0.3536,2060600
"See How to Become One",9,0.2298,5093100
